Label;Y;X
236;58;133
236;58;134
237;58;152
237;59;152
238;58;172
238;58;173
238;58;174
238;58;175
238;58;176
238;58;177
238;58;178
238;59;178
238;59;179
238;59;180
239;58;181
240;58;661
241;58;675
242;58;702
242;58;703
242;58;704
242;58;705
242;58;706
242;58;707
243;58;717
243;58;718
244;59;121
245;59;164
245;59;165
245;59;166
245;59;167
245;59;168
245;59;169
245;59;170
245;59;171
246;59;597
246;60;597
246;61;597
246;62;597
246;63;597
246;64;597
247;59;659
247;59;660
248;59;672
248;59;673
248;59;674
249;59;676
250;59;693
250;60;693
250;61;693
251;59;708
251;59;709
251;59;710
251;59;711
251;59;712
251;59;713
252;59;719
252;59;720
252;59;721
252;60;721
252;61;721
252;61;720
252;60;719
252;60;718
252;60;717
252;60;716
252;60;715
252;60;714
253;60;122
254;60;151
255;60;156
255;60;157
255;60;158
255;60;159
255;60;160
255;60;161
255;60;162
255;60;163
256;60;176
256;60;177
257;60;592
257;61;592
257;62;592
257;63;592
257;64;592
257;65;592
258;60;658
259;60;670
259;60;671
260;60;675
260;61;675
260;62;675
260;63;675
260;64;675
260;65;675
261;61;123
261;61;124
262;61;152
262;61;153
262;61;154
262;61;155
263;61;173
263;61;174
263;61;175
264;61;656
264;61;657
265;61;667
265;61;668
265;61;669
266;61;684
267;62;125
268;62;171
268;62;172
269;62;655
270;62;665
270;62;666
271;62;683
271;63;683
272;62;685
273;62;694
273;63;694
274;63;126
275;63;168
275;63;169
275;63;170
276;63;654
277;63;662
277;63;663
277;63;664
278;63;686
278;64;686
279;64;127
279;64;128
280;64;166
280;64;167
281;64;652
281;64;653
282;64;660
282;64;661
283;64;682
283;65;682
284;64;695
284;65;695
284;66;695
285;65;129
286;65;163
286;65;164
286;65;165
287;65;596
287;66;596
287;67;596
287;68;596
287;69;596
287;70;596
287;71;596
288;65;651
289;65;657
289;65;658
289;65;659
290;65;687
291;66;130
292;66;161
292;66;162
293;66;593
293;67;593
293;68;593
293;69;593
293;70;593
293;71;593
294;66;650
295;66;655
295;66;656
296;66;674
296;67;674
296;68;674
296;69;674
296;70;674
296;71;674
297;66;681
297;67;681
297;68;681
298;66;688
299;67;128
299;67;129
300;67;158
300;67;159
300;67;160
301;67;648
301;67;649
302;67;652
302;67;653
302;67;654
303;67;689
303;68;689
304;67;696
304;68;696
305;68;126
305;68;127
306;68;156
306;68;157
307;68;647
308;68;650
308;68;651
309;69;123
309;69;124
309;69;125
310;69;155
311;69;648
311;69;649
312;69;680
312;70;680
313;69;690
314;69;697
314;70;697
314;71;697
315;70;120
315;70;121
315;70;122
316;70;154
317;70;691
318;71;118
318;71;119
319;71;155
320;71;679
320;72;679
320;73;679
321;71;692
321;72;692
322;72;115
322;72;116
322;72;117
323;72;156
323;72;157
324;72;594
324;72;595
324;73;595
324;74;595
324;74;594
324;73;594
325;72;673
325;73;673
325;74;673
325;75;673
325;76;673
325;77;673
325;78;673
326;72;698
326;73;698
327;73;113
327;73;114
328;73;158
329;73;693
330;74;110
330;74;111
330;74;112
331;74;159
332;74;678
332;75;678
333;74;694
333;75;694
334;74;699
334;75;699
334;76;699
335;75;108
335;75;109
336;75;125
336;75;126
336;75;127
336;75;128
336;75;129
336;75;130
336;75;131
337;75;160
337;75;161
338;76;105
338;76;106
338;76;107
339;76;118
339;76;119
339;76;120
339;76;121
339;76;122
339;76;123
339;76;124
340;76;132
340;77;132
341;76;162
342;76;677
342;77;677
343;76;695
344;77;103
344;77;104
344;78;104
344;78;105
344;78;106
344;78;107
344;78;108
344;78;109
344;78;103
345;77;110
345;77;111
345;77;112
345;77;113
345;77;114
345;77;115
345;77;116
345;77;117
346;77;150
347;77;163
348;77;696
349;77;700
349;78;700
350;78;131
350;79;131
351;78;149
351;79;149
351;80;149
351;81;149
351;82;149
351;83;149
351;84;149
352;78;151
352;78;152
353;78;164
353;78;165
354;78;676
354;79;676
354;80;676
355;78;697
355;79;697
356;79;153
356;79;154
357;79;166
358;79;672
358;80;672
358;81;672
358;82;672
358;83;672
358;84;672
359;79;701
359;80;701
359;81;701
360;80;130
360;81;130
360;82;130
361;80;140
362;80;155
362;80;156
362;80;157
363;80;167
364;80;698
365;81;139
366;81;141
366;82;141
367;81;158
367;81;159
368;81;168
369;81;675
369;82;675
370;81;699
371;82;138
372;82;160
372;82;161
373;82;169
373;82;170
374;82;700
374;83;700
375;82;702
375;83;702
375;84;702
375;84;701
376;83;129
376;84;129
